maximum_weight_fraction
0.05
0.05
0.05
0.003
0.05
0.01
0.05
0.003
0.08
0.003
0.05
0.05
0.01
0.05
0.05
0.01
0.004
0.002
0.05
0.05
0.01
0.05
0.003
0.0159
0.1
0.05
0.001
0.05
0.02
0.02
0.05
0.01
0.05
0.05
0.001
0.01
0.1
0.1
0.05
0.2
0.003
0.05
0.01
0.0855
0.03
0.05
0.004
0.1
0.0084
0.003
0.01
0.1
0.01
0.001
0.05
0.1
0.05
0.1
0.05
0.01
0.1
0.05
0.004
0.002
0.05
0.05
0.05
0.05
0.003
0.006999999999999999
0.05
0.002
0.01
0.003
0.05
0.01
0.05
0.009000000000000001
0.01
0.01
0.05
0.1
0.2
0.01
0.001
0.1
0.01
0.05
0.05
0.01
0.05
0.05
0.003
0.01
0.05
0.02
0.001
0.01
0.01
0.001
0.002
0.1
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.1
0.002
0.004
0.01
0.01
0.05
0.05
0.05
0.004
0.15
0.01
0.01
0.05
0.004
0.005
0.0855
0.05
0.05
0.03
0.05
0.001
0.05
0.01
0.01
0.01
0.004
0.1
0.05
0.05
0.002
0.05
0.01
0.003
0.01
0.014159999999999999
0.05
0.004
0.05
0.05
0.05
0.01
0.01
0.003
0.05
0.05
0.01
0.01
0.05
0.05
0.05
0.005
0.05
0.05
0.05
0.01
0.002
0.05
0.05
0.05
0.3
0.2
0.05
0.05
0.05
0.01
0.01
0.01
0.005
0.1
0.01
0.05
0.03
0.01
0.01
0.001
0.01
0.01
0.3
0.1
0.01
0.01
0.1
0.01
0.05
0.005
0.05
0.01
0.01
0.01
0.01
0.05
0.001
0.01
0.01
0.05
0.015
0.07
0.01
0.01
0.01
0.25
0.01
0.01
0.01
0.01
0.01
0.1
0.15
0.001
0.05
0.01
0.01
0.01
0.05
0.005
0.01
0.1
0.01
0.01
0.05
0.05
0.05
0.05
0.01
0.05
0.01
0.01
0.0075
0.01
0.05
0.1
0.05
0.1
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.05
0.01
0.01
0.01
0.01
0.015
0.01
0.015
0.015
0.001
0.01
0.01
0.015
0.01
0.01
0.01
0.01
0.05
0.015
0.01
0.05
0.01
0.01
0.01
0.01
0.015
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.05
0.01
0.01
0.05
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.015
0.01
0.01
0.01
0.01
0.01
0.01
0.01
0.05
0.01
0.01
0.01
0.015
0.01
0.01
0.015
0.01
0.01
0.01
0.01
0.01
0.05
0.01
0.01
0.01
0.015
0.01
0.01
0.05
0.01
1e-06
0.01
0.01
0.001
1e-06
1e-08
1e-08
1e-06
0.01
0.01
0.001
1e-08
0.019
0.01
0.01
0.01
0.01
0.0028
0.01
0.05
0.02
0.1
0.03
0.01
0.07
0.01
0.07
0.07
0.09
0.05
0.07
0.02
0.05
0.05
0.01
0.016
0.1
0.003
0.01
0.07
0.01
0.01
0.00025
0.01
0.01
0.01
0.07
0.6
0.02
0.0002
0.01
0.1
0.01
0.03
0.01
0.01
0.1
0.05
0.07
0.1
0.05
0.01
0.05
0.77
0.05
0.01
0.01
0.02
0.07
0.0005200000000000001
0.001
0.05
0.1
0.05
0.01
0.03
0.01
0.05
0.01
0.01
0.05
0.01
0.025
0.01
0.05
0.07
0.01
0.01
0.05
0.01
0.01
0.01
0.01
0.1
0.006999999999999999
0.01
0.05
0.05
0.05
0.05
0.05
0.01
0.05
0.01
0.01
0.01
0.002
0.01
