	propMW	propMP	propBP	propLogDensity	absorbent	anti_adhesive_cohesive	antioxidant	antiredeposition_agent	biocide	brightener	chemical_reaction_regulator	colorant	deodorizer	filler	flavouring_nutrient	hardener	humectant	opacifier	uv_stabilizer	viscosity_modifier	agg_AC_fabrictreatmentanddye	agg_CP_generalhouseholdcleaning	agg_PE_fungicide	agg_VE_enginemaintenance	gen_EL	gen_HM	gen_PC	group_childspecific	group_dentalcare	group_deodorant	group_facialcleansingandmoisturizing	group_generalmoisturizing	group_makeupandrelated	group_paintstainandrelatedproducts	group_sunscreen	group_surfacesealers	refined_spray	matrix_F
20	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0	1
21	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	1
22	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1
23	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1
24	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1
25	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1
26	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1
27	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	1
28	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1
29	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0	1
30	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1
31	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	1
32	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1
33	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1
34	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	1
35	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0	1
36	106.16799999999999	-52.5218	147.1505	-0.05060999335508721	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1	1
