estimator	min_score	mean_score	max_score	std_score	augmentation_k	augmentation_type	n_components	max_depth	C	gamma
RandomForestClassifier	0.4576719576719577	0.7075925925925926	0.8412698412698413	0.13332319185417288	20	<function random_augment at 0x112173f80>	11	10	NaN	NaN
SVC	0.4775132275132275	0.7027513227513227	0.8888888888888888	0.1405959194430548	20	<function random_augment at 0x112173f80>	10	NaN	1000000.0	0.01
RandomForestClassifier	0.4576719576719577	0.6973280423280422	0.8047619047619047	0.12630723470452007	20	<function random_augment at 0x112173f80>	12	10	NaN	NaN
RandomForestClassifier	0.5052910052910052	0.6973280423280422	0.8047619047619047	0.10227878637026068	20	<function random_augment at 0x112173f80>	13	14	NaN	NaN
RandomForestClassifier	0.5317460317460317	0.693968253968254	0.8412698412698413	0.12320630421711799	20	<function random_augment at 0x112173f80>	10	8	NaN	NaN
RandomForestClassifier	0.4576719576719577	0.6930423280423281	0.8412698412698413	0.1374977852167204	20	<function random_augment at 0x112173f80>	11	8	NaN	NaN
RandomForestClassifier	0.5052910052910052	0.6908465608465608	0.8047619047619047	0.10058663766984453	20	<function random_augment at 0x112173f80>	10	14	NaN	NaN
RandomForestClassifier	0.5052910052910052	0.6899206349206348	0.8047619047619047	0.10052793093165346	20	<function random_augment at 0x112173f80>	10	12	NaN	NaN
RandomForestClassifier	0.5052910052910052	0.6899206349206348	0.8047619047619047	0.10052793093165346	20	<function random_augment at 0x112173f80>	11	14	NaN	NaN
RandomForestClassifier	0.4576719576719577	0.6899206349206348	0.8047619047619047	0.12489368396651845	20	<function random_augment at 0x112173f80>	13	10	NaN	NaN
RandomForestClassifier	0.5052910052910052	0.6899206349206348	0.8047619047619047	0.10355263805435655	20	<function random_augment at 0x112173f80>	14	12	NaN	NaN
RandomForestClassifier	0.5052910052910052	0.6899206349206348	0.8047619047619047	0.10355263805435655	20	<function random_augment at 0x112173f80>	14	14	NaN	NaN
RandomForestClassifier	0.4947089947089947	0.6847089947089947	0.8412698412698413	0.13024606696888535	20	<function random_augment at 0x112173f80>	14	8	NaN	NaN
RandomForestClassifier	0.42063492063492064	0.6844444444444445	0.8190476190476191	0.14323616191297867	30	<function random_augment at 0x112173f80>	10	8	NaN	NaN
