RFC	SVC
0.5961481481481481	0.6394814814814817
0.5961481481481481	0.6394814814814817
0.5961481481481481	0.6394814814814817
0.598962962962963	0.5826666666666667
0.6114074074074074	0.5811111111111112
0.6298518518518519	0.5780000000000001
0.6140740740740741	0.5683703703703703
0.630962962962963	0.63
0.6457777777777777	0.5811111111111112
0.617111111111111	0.5714074074074075
0.6387407407407407	0.6317037037037037
0.6311851851851852	0.6205925925925926
0.6180740740740741	0.5625185185185185
0.636	0.6147407407407407
0.6395555555555555	0.6427407407407407
0.6266666666666667	0.5633333333333332
0.6305925925925925	0.5942222222222223
0.6374074074074074	0.6057037037037037
0.6357777777777779	0.5627407407407408
0.6393333333333333	0.616074074074074
0.6305925925925925	0.5757777777777778
0.6433333333333332	0.5642962962962964
0.6285925925925927	0.6173333333333333
0.6352592592592592	0.5811111111111112
