Training Samples	RFC	SVC
100	0.4974007286980151	0.48532525890088896
200	0.5021141654669166	0.5162856889158806
300	0.5556747076886244	0.5668621695565598
400	0.5785912225757578	0.5266044794857767
500	0.5874803638789386	0.5603019231028404
1000	0.6353442444994827	0.6016087149350214
2000	0.6649501907045408	0.5543171882880261
3000	0.6679419782571627	0.6016234181534333
4000	0.6691430046850422	0.6025604119435969
5000	0.6883557761414488	0.655103081822792
10000	0.7027235672104296	0.6829034646685569
