,ID_BLT,ENM,CASRN,maximum_weight_fraction,size_avg_nm,propMW,propMP,propBP,propDensity,PUCID,gencatID,group,product_type,refined_product_type,assignedID,absorbent,antioxidant,antistain_agent,biocide,brightener,chemical_reaction_regulator,colorant,dehydrating_agent,deodorizer,dispersing_agent,filler,flavouring_nutrient,fuel_agent,hardener,humectant,lubricating_agent,opacifier,uv_stabilizer,viscosity_modifier,OECD_function,functionSum,LOD,measured
22,CPI_25,Silver,7440-22-4,0.00002,1,107.868,961.78,2162,10.345,PE.0200.010.050.F,PE,fungicide ,fungicide ,spray,F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
23,CPI_26,Silver,7440-22-4,0.00002,,107.868,961.78,2162,10.345,CP.0700.020.050.F,CP,general household cleaning ,disinfectant,spray,F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
24,CPI_27,Silver,7440-22-4,0.00003,,107.868,961.78,2162,10.345,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"biocide
flavouring_nutrient",2,0,0
25,CPI_28,Silver,7440-22-4,0.00003,,107.868,961.78,2162,10.345,PH.0400.010.050.P,PH,cold relief,cold relief,spray,P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
26,CPI_29,Silver,7440-22-4,0.00001,,107.868,961.78,2162,10.345,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"biocide
flavouring_nutrient",2,0,0
27,CPI_30,Silver,7440-22-4,0.00001,,107.868,961.78,2162,10.345,PH.0400.010.050.P,PH,cold relief,cold relief,spray,P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
28,CPI_31,Cerium oxide,1306-38-3,0.000005,,172.12,2340,3500,7.625,VE.0500.020.099.F,VE,engine maintenance ,auto fluids and additives ,NOC,F,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,"chemical_reaction_regulator
fuel_agent
opacifier",3,0,0
29,CPI_34,Selenium,7782-49-2,0.000005,,78.97,217,684.9,4.79,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,flavouring_nutrient,1,0,0
30,CPI_35,Gold,7440-57-5,0.00002,5,196.967,1063,2966,19.32,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,flavouring_nutrient,1,0,0
31,CPI_36,Platinum,7440-06-4,0.00001,17.5,195.085,1772,3827,21.45,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,flavouring_nutrient,1,0,0
32,CPI_37,Palladium,7440-05-3,0.00001,17.5,106.421,1555,2963,12.02,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,flavouring_nutrient,1,0,0
33,CPI_38,Iridium,7439-88-5,0.00001,17.5,192.22,2450,4428,22.42,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,flavouring_nutrient,1,0,0
34,CPI_39,Titanium,7440-32-6,0.0006,,47.867,1660,3287,4.506,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,flavouring_nutrient,1,0,0
35,CPI_40,Silicon dioxide,7631-86-9,0.0006,6,60.085,1600,2230,2.5915,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,flavouring_nutrient,1,0,0
36,CPI_41,Silver,7440-22-4,0.00001,,107.868,961.78,2162,10.345,PH.0400.010.050.P,PH,cold relief,cold relief,spray,P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,biocide,1,0,0
37,CPI_42,Gold,7440-57-5,0.00001,,196.967,1063,2966,19.32,PH.0200.010.099.P,PH,nutritional supplements ,nutritional supplements,NOC,P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,flavouring_nutrient,1,0,0
38,CPI_43,Zinc oxide,1314-13-2,0.99,30,81.37,1975,2360,5.605,HM.2000.040.040.F,HM,surface sealers ,surface sealer,exterior,F,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"hardener
uv_stabilizer",2,0,0
